Üretici,ÜreticiKodu,Açıklama,ÇalışmaSıcaklığı,Ref_SicaklıkDeğeri,Ref_SicaklıkDirençDeğeri,Ref_HataPayı,B_HataPayı,B0_50,B25_50,B25_75,B25_85,B25_100,Pdf
Cantherm,CWF3AA333F3470,THERM NTC 33KOHM 3470K PROBE,-55°C ~ 125°C,25,33k,±1%,±2%,,3470K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
Cantherm,CWF3AA472F3470,THERM NTC 4.7KOHM 3470K PROBE,-55°C ~ 125°C,25,4.7k,±1%,±2%,,3470K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
Cantherm,CWF3AA473F3950,THERM NTC 47KOHM 3950K PROBE,-55°C ~ 125°C,25,47k,±1%,±2%,,3950K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
Cantherm,CWF3AA474F4300,THERM NTC 470KOHM 4300K PROBE,-55°C ~ 125°C,25,470k,±1%,±2%,,4300K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
Cantherm,CWF3AA683F3950,THERM NTC 68KOHM 3950K PROBE,-55°C ~ 125°C,25,68k,±1%,±2%,,3950K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
Cantherm,CWF4B153F3470,THERMISTOR NTC 15KOHM 3470K BEAD,-55°C ~ 125°C,25,15k,±1%,±2%,,3470K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
Cantherm,CWF4B202F3470,THERMISTOR NTC 2KOHM 3470K BEAD,-55°C ~ 125°C,25,2k,±1%,±2%,,3470K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
Cantherm,CWF4B222F3470,THERM NTC 2.2KOHM 3470K BEAD,-55°C ~ 125°C,25,2.2k,±1%,±2%,,3470K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
Cantherm,CWF4B223F3470,THERMISTOR NTC 22KOHM 3470K BEAD,-55°C ~ 125°C,25,22k,±1%,±2%,,3470K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
Cantherm,CWF4B224F4150,THERM NTC 220KOHM 4150K BEAD,-55°C ~ 125°C,25,220k,±1%,±2%,,4150K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
Cantherm,CWF4B272F3100,THERM NTC 2.7KOHM 3100K BEAD,-55°C ~ 125°C,25,2.7k,±1%,±2%,,3100K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
Cantherm,CWF4B332F3470,THERM NTC 3.3KOHM 3380K BEAD,-55°C ~ 125°C,25,3.3k,±1%,±2%,,3380K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
Cantherm,CWF4B333F3470,THERMISTOR NTC 33KOHM 3380K BEAD,-55°C ~ 125°C,25,33k,±1%,±2%,,3380K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
Cantherm,CWF4B472F3470,THERM NTC 4.7KOHM 3380K BEAD,-55°C ~ 125°C,25,4.7k,±1%,±2%,,3380K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
Cantherm,CWF4B473F3950,THERMISTOR NTC 47KOHM 3950K BEAD,-55°C ~ 125°C,25,47k,±1%,±2%,,3950K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
Cantherm,CWF4B474F4300,THERM NTC 470KOHM 4300K BEAD,-55°C ~ 125°C,25,470k,±1%,±2%,,4300K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
Cantherm,CWF4B503F3950,THERMISTOR NTC 50KOHM 3950K BEAD,-55°C ~ 125°C,25,50k,±1%,±2%,,3950K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
Cantherm,CWF4B683F3950,THERMISTOR NTC 68KOHM 3950K BEAD,-55°C ~ 125°C,25,68k,±1%,±2%,,3950K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
TDK Electronics Inc.,B57560G1103G2,THERMISTOR NTC 10KOHM 3478K BEAD,-55°C ~ 200°C,25,10k,±2%,±1%,,,,3478K,3492K,https://en.tdk.eu/inf/50/db/ntc_09/Glass_enc_Sensors__B57560__G560__G1560.pdf
TDK Electronics Inc.,B57560G1203G000,THERMISTOR NTC 20KOHM 3992K BEAD,-55°C ~ 200°C,25,20k,±2%,±1%,,,,3992K,4006K,https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_Glass_enc_sensors_G1560.pdf
TDK Electronics Inc.,B57560G1303G005,THERMISTOR NTC 30KOHM 3612K BEAD,-55°C ~ 200°C,25,30k,±2%,±1%,,,,3612K,3625K,https://en.tdk.eu/inf/50/db/ntc_09/Glass_enc_Sensors__B57560__G560__G1560.pdf
TDK Electronics Inc.,B57541G0502F000,THERMISTOR NTC 5KOHM BEAD,-55°C ~ 200°C,25,5k,±1%,±1%,,,,,,https://en.tdk.eu/inf/50/db/ntc_13/NTC_Glass_enc_Sensors_G541_G1541_coated.pdf
TDK Electronics Inc.,B57541G1104F000,THERM NTC 100KOHM 4072K BEAD,-55°C ~ 250°C,25,100k,±1%,±1%,,,,4072K,4092K,https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_Glass_enc_sensors_G1541_coated.pdf
TDK Electronics Inc.,B57541G1503F005,THERMISTOR NTC 10KOHM 3612K BEAD,-55°C ~ 250°C,25,10k,±1%,±1%,,,,3612K,3625K,https://en.tdk.eu/inf/50/db/ntc_13/NTC_Glass_enc_Sensors_G541_G1541_coated.pdf
TDK Electronics Inc.,B57551G0502F000,THERMISTOR NTC 5KOHM 3480K BEAD,-55°C ~ 260°C,25,5k,±1%,±1%,,,,3480K,3497K,
TDK Electronics Inc.,B57561G1103F005,THERMISTOR NTC 10KOHM 3612K BEAD,-55°C ~ 260°C,25,10k,±1%,±1%,,,,3612K,3625K,https://en.tdk.eu/inf/50/db/ntc_13/NTC_Glass_enc_sensors_G1561_coated.pdf
TDK Electronics Inc.,B57560G145F2,THERM NTC 1.4MOHM 4557K BEAD,-55°C ~ 200°C,25,1.4M,±1%,-,,,,4557K,4581K,https://en.tdk.eu/inf/50/db/ntc_09/Glass_enc_Sensors__B57560__G560__G1560.pdf
Cantherm,MF52C153F3470-G410,THERMISTOR NTC 15KOHM 3470K BEAD,-55°C ~ 125°C,25,15k,±1%,±1%,,3470K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/cantherm_mf52_1.pdf
Cantherm,MF52C202F3470-G410,THERMISTOR NTC 2KOHM 3470K BEAD,-55°C ~ 125°C,25,2k,±1%,±1%,,3470K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/cantherm_mf52_1.pdf
Cantherm,MF52C222F3470-G410,THERM NTC 2.2KOHM 3470K BEAD,-55°C ~ 125°C,25,2.2k,±1%,±1%,,3470K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/cantherm_mf52_1.pdf
Cantherm,MF52C223F3470-G410,THERMISTOR NTC 22KOHM 3470K BEAD,-55°C ~ 125°C,25,22k,±1%,±1%,,3470K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/cantherm_mf52_1.pdf
Cantherm,MF52C224F4150-G410,THERM NTC 220KOHM 4150K BEAD,-55°C ~ 125°C,25,220k,±1%,±1%,,4150K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/cantherm_mf52_1.pdf
Cantherm,MF52C272F3100-G410,THERM NTC 2.7KOHM 3100K BEAD,-55°C ~ 125°C,25,2.7k,±1%,±1%,,3100K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/cantherm_mf52_1.pdf
Cantherm,MF52C332F3470-G410,THERM NTC 3.3KOHM 3470K BEAD,-55°C ~ 125°C,25,3.3k,±1%,±1%,,3470K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/cantherm_mf52_1.pdf
Cantherm,MF52C333F3470-G410,THERMISTOR NTC 33KOHM 3470K BEAD,-55°C ~ 125°C,25,33k,±1%,±1%,,3470K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/cantherm_mf52_1.pdf
Cantherm,MF52C472F3470-G410,THERM NTC 4.7KOHM 3470K BEAD,-55°C ~ 125°C,25,4.7k,±1%,±1%,,3470K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/cantherm_mf52_1.pdf
Cantherm,MF52C473F3950-G410,THERMISTOR NTC 47KOHM 3950K BEAD,-55°C ~ 125°C,25,47k,±1%,±1%,,3950K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/cantherm_mf52_1.pdf
Cantherm,MF52C474F4300-G410,THERM NTC 470KOHM 4300K BEAD,-55°C ~ 125°C,25,470k,±1%,±1%,,4300K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/cantherm_mf52_1.pdf
Cantherm,MF52C683F3950-G410,THERMISTOR NTC 68KOHM 3950K BEAD,-55°C ~ 125°C,25,68k,±1%,±1%,,3950K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/cantherm_mf52_1.pdf
Cantherm,CWF1A103F3380,THERM NTC 10KOHM 3380K PROBE,-55°C ~ 125°C,25,10k,±1%,-,,3380K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
Cantherm,CWF1A104F4150,THERM NTC 100KOHM 4150K PROBE,-55°C ~ 125°C,25,100k,±1%,-,,4150K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
Cantherm,CWF1A503F3950,THERM NTC 50KOHM 3950K PROBE,-55°C ~ 125°C,25,50k,±1%,-,,3950K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
Cantherm,CWF4B104G4150,THERM NTC 100KOHM 4150K BEAD,-55°C ~ 125°C,25,100k,±2%,-,,4150K,,,,https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf
Littelfuse Inc.,DC101B2K,THERMISTOR NTC 100OHM 2941K BEAD,100°C,25,100,±10%,-,2941K,,,,,https://www.littelfuse.com/~/media/electronics/datasheets/leaded_thermistors/littelfuse_leaded_thermistors_epoxy_coated_thermistors_standard_leaded_dc_datasheet.pdf.pdf
TDK Electronics Inc.,B57561G0202F000,THERMISTOR NTC 2KOHM 3405K BEAD,-55°C ~ 200°C,25,2k,±1%,±1%,,,,3405K,3420K,https://en.tdk.eu/inf/50/db/ntc_13/NTC_Glass_enc_sensors_G1561_coated.pdf
Honeywell Sensing and Productivity Solutions,197-302LAG-A01,THERMISTOR NTC 3KOHM 3348K BEAD,-60°C ~ 125°C,25,3k,±10%,-,,,,3348K,,https://sensing.honeywell.com/honeywell-sensing-temperature-sensors-line-guide-009033-4-en.pdf
